Actual Time (ms),Billed Time (ms)
560,764
62,88
46,53
38,44
49,58
41,43
79,100
36,47
34,43
54,62
53,55
64,74
54,74
261,473
66,75
52,59
37,54
59,61
54,78
41,67
32,43
40,62
51,73
69,99
81,122
47,56
59,81
49,76
212,362
52,75
41,48
62,84
39,50
49,78
48,79
37,44
62,83
40,43
52,56
34,89
59,84
49,69
34,43
45,47
64,86
45,49
43,64
40,61
49,74
29,46
33,44
55,79
56,97
38,44
100,143
43,64
37,44
39,51
64,85
43,72
51,72
65,86
62,83
52,68
77,99
36,45
52,73
41,63
52,60
56,78
42,64
63,71
65,86
34,65
35,83
37,65
53,64
54,75
44,71
51,59
49,70
45,67
79,101
54,60
62,162
39,49
36,44
38,66
84,95
73,95
47,54
42,63
22,44
54,80
43,181
45,66
80,102
36,45
48,69
39,87
37,44
